Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,,,,,,,,
5/20/2019,0,9:45,6.04,7.68,1471,9.47,90.9,451
,0.5,,6.08,7.7,1470,9.41,90.4,448
,1,,6.08,7.72,1473,9.4,90.3,447
,1.5,,6.06,7.72,1474,9.41,90.4,446
,2,,6.21,7.71,1483,9.21,88.6,445
,2.5,,6.17,7.72,1482,9.36,90.3,444
,,,,,,,,
7/22/2019,0,10:43,16.77,7.85,1894,9.7,118.4,422
,0.5,,16.69,7.9,1893,9.75,118.7,414
,1,,14.58,7.87,1896,10.02,116.3,414
,1.5,,14.09,7.82,1909,9.11,105,419
,2,,13.74,7.78,1909,8.03,91.6,423
,2.5,,13.38,7.83,1904,8.33,94.3,425
,,,,,,,,
9/9/2019,0,1030,14.26,7.84,2095,9.02,104.9,322
,0.5,,14.23,7.84,2095,8.99,104.7,321
,1,,14.22,7.85,2096,9.03,104.8,321
,1.5,,13.77,7.76,2094,8.47,97.6,323
,2,,12.46,7.71,2111,8.14,90.7,325
