Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Teton Reservoir - D,,,,,,,,,,
,6/12/2013,0,1006,16.62,8.22,3127,7.26,95.1,336,
,,0.5,1008,15.93,8.21,3128,7.13,92,332,
,,1,1009,15.47,8.29,3148,7.08,90.5,330,
,,1.5,1010,15.36,8.31,3145,7.03,89.6,329,
,,2,1011,15.23,8.3,3149,6.91,87.8,327,
,,2.5,1012,15.15,8.35,3152,6.89,87.4,326,
,,3,1014,15.16,8.35,3149,6.79,86,325,
,,4,1015,14.74,8.35,3151,6.28,78.9,325,
,,4.6,1017,14.41,8.37,3147,6.76,84.3,324,
,,,,,,,,,,
,7/23/2013,0,934,19.06,7.84,3523,5.77,81,322,
,,0.5,936,18.6,8,3520,5.74,79.5,319,
,,1,936,18.51,8.06,3520,5.68,78.5,317,
,,1.5,937,18.36,8.34,3519,5.46,75.3,311,
,,2,937,18.26,8.2,3519,5.33,73.4,310,
,,2.5,938,18.02,8.09,3519,5.06,69.4,309,
,,3,939,17.81,8.09,3515,5.16,70.5,309,
,,4,940,17.67,8.08,3517,4.84,65.9,308,
,,,,,,,,,,
,9/9/2013,0,1433,18.6,7.77,3933,5.93,83.5,262,
,,0.5,1435,18.5,7.46,3933,5.89,82.9,269,
,,1,1436,18.5,8.01,3932,5.84,82.1,260,
,,1.5,1437,18.5,8.09,3933,5.8,81.4,256,
,,2,1439,18.5,8.15,3933,5.81,81.6,253,
,,2.5,1441,18.4,8.17,3934,5.76,80.8,252,
,,3,1441,18.4,8.18,3928,5.75,80.6,251,
,,4,1443,18.3,8.19,3928,5.58,78.2,250,
,,4.4,1443,18.1,8.19,3927,5.39,75,250,
,,,,,,,,,,
,6/11/2014,0,1033,14.4,7.63,3455,6.6,84.8,335,
,,0.5,1035,14.4,7.61,3457,6.58,84.4,336,
,,1,1036,14.3,7.88,3456,6.56,84.3,331,
,,1.5,1037,14.3,8,3455,6.56,84.2,327,
,,2,1039,14.3,8.1,3456,6.56,84.1,323,
,,2.5,1040,14.3,8.11,3456,6.55,84,319,
,,3,1041,14.2,8.12,3456,6.53,83.6,317,
,,4,1043,14.1,8.14,3453,6.47,82.7,315,
,,4.5,1044,14.1,8.16,3455,6.46,82.5,313,
,,,,,,,,,,
,7/21/2014,0,1207,17.5,7.91,3822,6.61,89.9,295,
,,0.5,1208,17.5,8.19,3867,6.62,90,287,
,,1,1210,17.5,8.22,3869,6.57,89.5,283,
,,1.5,1211,17.5,8.28,3867,6.56,89.2,281,
,,2,1212,17.5,8.33,3867,6.52,88.8,280,
,,2.5,1214,17.5,8.43,3867,6.52,88.8,278,
,,3,1216,17.5,8.26,3867,6.49,88.4,279,
,,3.7,1217,17.5,8.26,3867,6.46,88,279,
,,,,,,,,,,
,9/8/2014,0,1628,15.7,8.63,3828,7.13,93.2,220,
,,0.5,,15.7,8.55,3828,7.1,92.9,221,
,,1,,15.7,8.53,3829,7.11,93.2,222,
,,1.5,,15.7,8.53,3828,7.1,92.8,224,
,,2,,15.6,8.53,3828,7.08,92.5,224,
,,2.5,,15.6,8.54,3829,7.07,92.4,225,
,,3,,15.6,8.54,3826,7.08,92.4,225,
,,3.7,1635,15.6,8.54,3825,7.04,92,226,
