Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,,,,,,,,
5/29/2018,0,9:01,8.14,6.81,22.6,8.94,100,352
,0.5,,8.13,6.78,22.4,8.96,100.3,351
,1,,8.1,6.76,22.2,8.95,100.1,352
,1.5,,8.06,6.75,22.2,8.94,99.9,352
,2,,7.31,6.72,22.5,9.01,98.9,353
,2.5,,6.97,6.7,19.8,9.05,98.4,353
,3,,6.92,6.68,18.7,9.1,98.7,353
,4,,6.77,6.66,21.4,9.09,98.2,355
,5,,6.54,6.64,19.9,9.06,97.4,355
,6,,6.36,6.62,20.2,9.07,97.1,357
,7,,6.35,6.63,21.1,9.06,96.9,356
,8,,6.34,6.63,22.6,9.05,96.9,358
,9,,5.84,6.62,22.7,8.96,94.8,358
,10,,5.45,6.61,23.9,8.93,93.6,359
,11,,5.22,6.6,25,8.91,92.5,360
,12,,5.04,6.6,26.3,8.82,91.4,361
,13,,4.79,6.59,30.2,8.66,88.8,363
,14,,4.65,6.6,32.3,8.43,86.3,363
,15,,4.63,6.6,32.3,8.4,86,364
,20,,4.05,6.52,42.2,6.48,65.1,363
,23,,3.82,6.45,47.4,4.47,44.8,370
,,,,,,,,
7/17/2018,0,9:00,18.16,7.57,29.5,6.78,93.3,337
,0.5,,17.72,7.47,29.5,6.79,92.9,340
,1,,17.59,7.43,29.4,6.77,92.4,339
,1.5,,16.29,7.37,29.2,7.05,93.6,339
,2,,15.8,7.3,30.1,7.13,93.5,341
,2.5,,15.06,7.23,32,7.31,94.5,341
,3,,14.4,7.21,34.1,7.47,95.1,340
,4,,12.36,7.11,31.4,7.61,92.4,340
,5,,10.69,6.99,32.1,7.33,86,342
,6,,9.39,6.82,31.8,6.81,77.1,343
,7,,7.96,6.62,30.2,6.13,67.1,345
,8,,6.95,6.57,29.3,6.14,65.6,342
,9,,6.22,6.45,29.1,5.95,62.4,343
,10,,5.51,6.33,31.2,5.56,57.2,346
,11,,5.29,6.29,32.9,5.29,54,346
,12,,4.92,6.25,34.3,5.04,51.1,346
,13,,4.77,6.18,35.4,4.81,48.6,348
,14,,4.69,6.18,36.3,4.58,46.2,347
,15,,4.64,6.17,36.8,4.46,44.8,347
,20,,4.5,6.13,38.3,4.02,40.3,347
,22,,4.44,6.12,38.9,3.78,37.9,348
,,,,,,,,
9/11/2018,0,9:35,13.64,7.27,35.4,8.38,106.2,338
,0.5,,13.63,7.13,35.4,8.37,106.1,337
,1,,13.56,7.17,35.2,8.39,106.1,336
,1.5,,13.52,7.25,35.2,8.4,106.1,333
,2,,13.49,7.28,35.2,8.44,106.6,331
,2.5,,13.47,7.3,35.3,8.48,107,330
,3,,13.45,7.3,35.1,8.41,106.1,329
,4,,12.53,6.81,35.1,7.92,98,341
,5,,12.13,6.76,33.9,7.75,94.9,343
,6,,11.64,6.62,33.4,7.2,87.3,346
,7,,10.99,6.52,32.9,6.8,81.1,348
,8,,9.27,6.27,32.8,4.54,51.7,352
,9,,7.92,6.1,32.1,4.03,44.6,354
,10,,7.15,6.03,31.8,4.02,43.8,354
,11,,6.47,6,31.8,4.04,43.1,353
,12,,5.85,5.97,33.1,3.78,39.8,351
,13,,5.39,5.95,34.6,3.48,36.1,351
,14,,5.13,5.94,34.9,3.36,34.7,350
,15,,5.05,5.93,35.8,3.15,32.4,349
,20,,4.73,5.91,38.1,2.52,25.6,348
,25,,4.65,5.9,39.1,1.94,19.8,347
,29,,4.62,5.9,40.1,1.1,11.2,345
