Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Twin Butte Reservoir - D,,,,,,,,,,
,6/17/2013,0,1110,17.77,8.24,15200,7.01,99.3,323,
,,0.5,1111,17.01,8.3,15194,7.09,99.3,321,
,,1,1113,16.67,8.31,15103,7.1,98.7,320,
,,1.5,1114,16.54,8.3,15141,7.16,99.3,319,
,,2,1115,16.46,8.34,15139,7.18,99.3,317,
,,2.5,1116,16.44,8.41,15147,7.19,99.4,316,
,,3,1117,16.38,8.36,15138,7.12,98.3,316,
,,4,1119,16.23,8.42,15143,6.65,91.6,314,
,,5,1120,16.15,8.39,15150,6.8,93.4,314,
,,6,1120,15.98,8.38,15123,6.24,85.2,314,
,,7,1121,15.87,8.38,15129,5.95,81.2,313,
,,7.5,1122,15.79,8.39,15129,5.78,78.8,313,
,,,,,,,,,,
,7/29/2013,0,1105,19.3,8.09,15840,5.76,85.1,257,
,,0.5,1106,19.3,8.14,15848,5.76,85.1,258,
,,1,1108,19.3,8.16,15831,5.76,84.9,258,
,,1.5,1109,19.3,8.18,15839,5.75,84.9,258,
,,2,1111,19.3,8.19,15839,5.74,84.7,259,
,,2.5,1113,19.3,8.19,15837,5.75,84.7,259,
,,3,1114,19.3,8.2,15837,5.74,84.6,260,
,,4,1115,19.3,8.24,15836,5.74,84.5,260,
,,5,1116,19.2,8.26,15834,5.74,84.4,261,
,,6,1118,19.2,8.27,15832,5.75,84.7,261,
,,7,1120,19.1,8.27,15827,5.79,85.1,261,
,,,,,,,,,,
,9/11/2013,0,1045,18,8.37,16161,4.8,68.3,313,
,,0.5,1048,18,8.38,16161,4.78,68.1,313,
,,1,1049,18,8.38,16161,4.77,68,312,
,,1.5,1051,18,8.38,16169,4.77,67.9,312,
,,2,1052,17.9,8.39,16168,4.77,67.9,312,
,,2.5,1053,17.9,8.39,16158,4.81,68.4,312,
,,3,1053,17.8,8.39,16156,4.84,68.9,312,
,,4,1054,17.8,8.4,16138,4.79,68,311,
,,5,1056,17.85,8.4,16149,4.61,65.5,311,
,,6,1058,17.7,8.41,16125,4.97,70.4,311,
,,7,1059,17.1,8.41,16124,4.81,67.3,304,
,,,,,,,,,,
,6/3/2014,0,1020,16.9,8.09,15234,7.17,105.1,311,
,,0.5,1022,16.9,8.14,15233,7.19,105.2,311,
,,1,1023,16.8,8.19,15233,7.2,105.3,311,
,,1.5,1024,16.8,8.16,15241,7.21,105.3,312,
,,2,1025,16.8,8.16,15249,7.21,105.5,311,
,,2.5,1026,16.6,8.17,15325,7.18,104.5,313,
,,3,1027,16.2,8.18,15500,7.27,104.9,313,
,,4,1028,15.2,8.15,15722,6.46,91.3,309,
,,5,1029,13.7,8.12,16027,4.9,66.9,311,
,,6,1030,12.2,8.11,16152,3.64,48.1,312,
,,,,,,,,,,
,7/28/2014,0,1329,22.6,8.49,14672,6.64,103.8,275,
,,0.5,1330,21.9,8.4,14664,6.6,101.9,281,
,,1,1332,20.7,8.5,14629,6.67,100.6,280,
,,1.5,1334,20.4,8.49,14643,6.65,99.7,280,
,,2,1336,20.3,8.49,14642,6.62,99.2,281,
,,2.5,1338,20.3,8.5,14628,6.58,98.5,282,
,,3,1339,20.1,8.43,14623,6.57,98,284,
,,4,1341,20,8.49,14607,6.6,98.4,284,
,,5,1342,19.9,8.49,14605,6.52,97,285,
,,6,1343,19.6,8.51,14586,6.14,90.7,284,
,,7,1345,18.6,8.47,14685,3.55,51.1,285,
,,7.7,1346,6.6,8.71,14821,0.27,3.7,-33,
,,,,,,,,,,
,9/17/2014,0,1029,14.7,8.25,13164,6.91,94.9,260,
,,0.5,,14.7,8.38,13156,6.9,94.7,263,
,,1,,14.6,8.35,13166,6.94,95,266,
,,1.5,,14.5,8.37,13141,6.93,94.9,268,
,,2,,14.5,8.4,13147,6.92,94.6,269,
,,2.5,,14.4,8.42,13143,6.93,94.5,270,
,,3,,14.4,8.43,13140,6.9,94.3,272,
,,4,,14.3,8.47,13132,6.7,91.2,273,
,,5,,14,8.41,13132,6.41,86.7,274,
,,6,,14,8.43,13130,6.31,85.2,274,
,,7,,13.9,8.47,13127,5.98,80.8,275,
,,8,1041,13.8,8.48,13131,5.74,77.2,274,
,,,,,,,,,,
,,,,,,,,,,
