Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Unnamed Reservoir (Emblem) - D,,,,,,,,,
,,,,,,,,,
,6/1/2015,0,1055,18.6,8.36,371,9.6,121,199
,,0.5,,17.9,8.5,371,9.63,120,199
,,1,,17.7,8.44,371,9.43,117,201
,,1.5,,16.6,8.32,358,8.72,106,202
,,2,,15.7,8.2,356,8.46,100,202
,,2.5,,15.7,8.2,350,8.43,99.7,202
,,3,,15.6,8.2,353,8.37,99,202
,,4,,15.2,8.16,353,8.22,96.4,202
,,5,,14.9,8.15,348,8.18,95.2,203
,,,,,,,,,
,7/14/2015,0,827,19.4,8.09,298,7.3,93.4,398
,,0.5,,19.4,8.15,298,7.3,93.3,399
,,1,,19.3,8.19,297,7.24,92.5,409
,,1.5,,19.3,8.19,297,7.24,92.5,409
,,2,,19.3,8.19,297,7.25,92.6,410
,,2.5,,19.2,8.18,297,7.23,92.3,410
,,3,,19.1,8.18,296,7.19,91.6,411
,,4,,18.8,8.13,293,7.02,88.7,412
,,5,,18.1,8.12,289,7.05,88,413
,,,,,,,,,
,9/21/2015,0,828,14.66,8.43,415,8.23,95.8,379
,,0.5,,14.65,8.49,415,8.2,95.4,380
,,1,,14.63,8.53,415,8.19,95.2,381
,,1.5,,14.63,8.54,415,8.2,95.4,382
,,2,,14.58,8.53,415,8.14,94.7,383
,,2.5,,14.58,8.55,415,8.16,94.8,384
,,3,,14.55,8.57,415,8.12,94.4,385
,,4,,14.48,8.57,415,8.11,94.1,386
,,5,,14.32,8.56,417,7.96,92,388
,,,,,,,,,
,6/6/2016,0,911,17.7,8.46,346,8.08,99.8,273
,,0.5,,17.7,8.57,344,8.06,99.8,289
,,1,,17.6,8.56,344,8.05,99.3,290
,,1.5,,15.9,8.54,344,7.86,94.3,293
,,2,,15.3,8.57,367,7.81,91.5,294
,,2.5,,14.9,8.54,364,7.7,89.7,295
,,3,,14.7,8.54,366,7.57,87.8,298
,,4,,14.5,8.52,369,7.45,86.2,297
,,5,,14.4,8.49,369,7.27,83.6,299
,,,,,,,,,
,7/26/2016,0,825,20.76,8.4,313,7.1,93.5,425
,,0.5,,20.77,8.4,313,7.13,93.6,425
,,1,,20.76,8.42,313,7.06,92.8,425
,,1.5,,20.29,8.32,313,6.69,87.6,427
,,2,,20,8.16,312,6.16,79.8,428
,,2.5,,19.89,8.14,312,6.05,78,429
,,3,,19.85,8.21,312,6.23,80.5,429
,,4,,19.81,8.24,313,6.47,83.5,429
,,4.5,,19.56,8.09,313,5.86,75,432
,,,,,,,,,
,9/20/2016,0,840,15,8.4,452,8.34,97.5,527
,,0.5,,14.99,8.41,452,8.32,97.3,527
,,1,,14.99,8.42,452,8.32,97.3,526
,,1.5,,14.98,8.43,452,8.35,97.7,526
,,2,,14.96,8.43,453,8.32,97.2,526
,,2.5,,14.96,8.44,453,8.3,97,526
,,3,,14.92,8.44,453,8.31,97.1,526
,,4,,14.55,8.4,452,8.02,93,526
,,4.5,,14.44,8.4,452,7.96,92.2,526
