Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Upper New Fork Lake- LPD,,,,,,,,,
,6/11/2019,0,12:10,9.22,7.57,42.7,8.94,102.4,429
,,0.5,,9.05,7.57,42.8,8.87,101.5,429
,,1,,8.98,7.58,42.8,8.87,101.3,429
,,1.5,,8.8,7.59,43.1,8.85,101,430
,,2,,8.86,7.58,43.1,8.93,101.3,431
,,2.5,,8.45,7.58,43,8.94,99.7,433
,,3,,7.68,7.53,43,8.8,97,436
,,4,,7.62,7.49,42.8,8.77,96.5,437
,,5,,7.4,7.47,43,8.74,95.8,438
,,6,,7.33,7.45,43.1,8.72,95.4,439
,,7,,7.36,7.43,43,8.69,95.2,440
,,8,,7.28,7.44,43.2,8.67,94.8,440
,,9,,7.15,7.44,43.1,8.64,94.3,441
,,10,,6.94,7.42,43,8.65,93.7,442
,,11,,6.37,7.39,43.5,8.56,91.4,444
,,12,,5.86,7.35,44.5,8.45,88.9,446
,,13,,5.42,7.3,45.1,8.28,86.3,448
,,14,,5.03,7.26,45.9,8.16,84.1,451
,,15,,4.89,7.24,46.2,8.03,82.4,452
,,20,,4.42,7.17,46.8,7.71,78.2,454
,,25,,4.14,7.12,47.1,7.4,74.5,457
,,30,,3.97,7.07,47.8,7.06,70.8,459
,,40,,3.98,7,48.6,6.23,62.4,463
,,50,,4.06,6.96,48.3,6.01,60.4,464
,,60,,4.11,6.95,48.5,5.88,59.2,465
,,,,,,,,,
,7/15/2019,0,14:09,14.5,7.54,31.7,8.45,110.2,397
,,0.5,,14.53,7.53,31.7,8.44,109.9,401
,,1,,14.29,7.55,31.7,8.51,110,406
,,1.5,,13.65,7.53,31.3,8.59,109.5,416
,,2,,12.27,7.54,30.7,8.99,111.2,421
,,2.5,,11.75,7.54,30.6,9.17,111.7,421
,,3,,10.84,7.5,30.3,9.21,110.3,427
,,4,,9.76,7.47,30.3,9.4,109.8,429
,,5,,9.31,7.45,30.5,9.58,110.6,431
,,6,,8.8,7.46,31.1,9.63,109.8,434
,,7,,8.32,7.19,31.2,9.23,104.2,444
,,8,,7.95,7.07,31.5,8.94,99.8,448
,,9,,7.47,6.93,32.8,8.7,95.9,456
,,10,,6.9,6.84,34.3,8.35,90.5,460
,,11,,6.51,6.81,35.7,8.22,91.2,461
,,12,,6.3,6.73,36.8,8.08,86.5,467
,,13,,6.08,6.7,37.5,7.98,84.8,468
,,14,,5.8,6.7,38.9,7.95,84.1,469
,,15,,5.62,6.69,39.4,7.85,82.5,469
,,20,,4.83,6.64,42.8,7.34,75.8,472
,,25,,4.35,6.58,44.8,6.95,70.6,476
,,30,,4.12,6.55,45.8,6.58,66.7,477
,,40,,3.99,6.51,46.4,6.16,62.1,479
,,50,,4.02,6.46,46.5,5.81,58.6,481
,,58,,4.07,7.17,47.2,4.82,48.9,206
,,,,,,,,,
,9/9/2019,0,14:35,15.65,8.01,36.9,7.28,97.9,461
,,0.5,,15.62,7.94,36.9,7.27,97.6,459
,,1,,15.60,7.91,36.9,7.26,97.3,456
,,1.5,,15.56,7.92,36.8,7.29,98.0,454
,,2,,15.56,7.91,36.8,7.29,97.8,451
,,2.5,,15.56,7.92,36.9,7.29,97.8,449
,,3,,15.56,7.91,36.8,7.26,97.7,447
,,4,,15.51,7.93,36.9,7.30,97.8,446
,,5,,15.42,7.90,36.9,7.32,97.7,446
,,6,,15.41,7.91,36.5,7.30,97.6,445
,,7,,15.2,7.88,36.5,7.33,97.4,445
,,8,,13.01,7.85,34.3,8.58,107.0,446
,,9,,10.88,7.78,34.2,8.68,109.4,448
,,10,,8.04,7.62,33.3,8.52,96.1,455
,,11,,7.19,7.43,35.1,7.97,87.8,462
,,12,,7.04,7.28,35.7,7.81,85.2,465
,,13,,6.87,7.19,35.7,7.56,83.1,468
,,14,,6.58,7.13,36.7,7.31,78.9,470
,,15,,6.30,7.06,37.4,6.99,75.5,472
,,20,,5.31,7.02,41.2,6.68,70.5,475
,,25,,4.71,6.99,43.4,6.60,68.2,476
,,30,,4.29,6.98,44.5,6.34,64.8,478
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
