Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Upper New Fork Lake- RTPD,,,,,,,,,
,6/11/2019,0,12:45,9.81,7.51,42.6,8.96,100.4,405
,,0.5,,9.71,7.55,42.8,8.91,103.4,404
,,1,,9.72,7.55,42.9,8.93,103.3,406
,,1.5,,8.31,7.53,41.5,8.94,99.9,408
,,2,,7.95,7.47,42.5,8.87,98.5,411
,,2.5,,7.88,7.46,42.4,8.82,98,412
,,3,,7.86,7.43,42.9,8.85,98.1,415
,,4,,7.75,7.43,42.9,8.8,97.3,416
,,5,,7.73,7.41,43,8.83,97.3,417
,,6,,7.45,7.43,42.9,8.79,96.4,418
,,7,,7.22,7.39,42.7,8.79,95.9,419
,,8,,7.13,7.39,41.5,8.85,96.4,420
,,9,,7.06,7.37,40.8,8.83,96,420
,,10,,6.99,7.37,40.6,8.88,96.2,422
,,11,,6.63,7.37,39.8,8.9,95.6,422
,,12,,6.02,7.31,40.8,8.74,92.2,425
,,13,,5.75,7.29,40.9,8.64,90.6,425
,,14,,5.73,7.21,41.3,8.59,90.2,429
,,15,,5.48,7.24,42,8.4,87.7,429
,,20,,5.12,7.17,44.6,8.11,83.8,432
,,25,,4.98,7.15,44.5,8.03,82.6,434
,,30,,4.72,7.12,45.3,7.76,79.4,435
,,32,,4.62,7.1,45.1,7.66,78.2,436
,,,,,,,,,
,7/15/2019,0,14:45,15.41,7.55,31.9,8.32,110.7,347
,,0.5,,15.01,7.51,31.5,8.26,109.8,352
,,1,,15.09,7.48,31.8,8.34,109.8,361
,,1.5,,14.67,7.45,30.3,8.38,108.7,366
,,2,,12.3,7.48,30.5,8.83,109.4,369
,,2.5,,12.12,7.45,30.1,8.86,109.4,370
,,3,,11.12,7.41,29.5,9.08,109.2,376
,,4,,10.27,7.36,29.7,9.08,107.5,378
,,5,,9.74,7.33,30.1,9.13,106.7,382
,,6,,9.38,7.24,30,8.96,103.6,386
,,7,,9.07,7.14,30.3,8.94,102.7,389
,,8,,8.55,7.1,30.8,8.78,99.5,392
,,9,,7.89,7.04,31.8,8.73,97,396
,,10,,7.41,6.93,32.6,8.61,94.6,402
,,11,,7.02,6.88,34,8.38,91.5,405
,,12,,6.85,6.81,34.7,8.32,90.2,407
,,13,,6.62,6.78,35.4,8.16,88.3,410
,,14,,6.4,6.76,36.2,8.18,87.8,411
,,15,,6.05,6.76,37.8,8.03,85.4,411
,,20,,4.71,6.67,43.4,7.38,75.7,417
,,25,,4.55,6.62,44.4,7.05,72,419
,,30,,4.23,6.61,45.4,6.83,69.3,420
,,32,,4.12,6.58,45.5,6.60,66.8,421
,,,,,,,,,
,9/9/2019,0,15:20,16.07,8.05,36.8,7.25,98.4,447
,,0.5,,15.72,7.97,37.3,7.37,99.3,444
,,1,,15.68,7.94,37.2,7.33,98.7,443
,,1.5,,15.64,7.94,37.1,7.35,98.9,441
,,2,,15.65,7.92,37.3,7.35,98.8,440
,,2.5,,15.64,7.92,37.1,7.36,98.8,439
,,3,,15.62,7.90,37.3,7.35,98.8,439
,,4,,15.62,7.93,37.3,7.40,99.3,435
,,5,,15.61,7.92,37.2,7.37,99.1,436
,,6,,15.59,7.90,37.4,7.37,99.2,436
,,7,,15.58,7.90,37.6,7.40,99.2,434
,,8,,15.36,8.00,39.4,7.59,101.4,431
,,9,,13.25,7.86,37.3,7.65,98.4,437
,,10,,10.66,7.72,33.1,8.77,104.1,441
,,11,,8.09,7.56,34.1,8.61,97.1,448
,,12,,7.88,7.39,34.0,8.18,92.4,452
,,13,,7.40,7.29,35.0,7.98,88.5,455
,,14,,7.02,7.21,35.5,7.68,84.7,458
,,15,,6.90,7.17,35.5,7.65,83.4,459
,,20,,5.25,7.01,42.5,6.23,65.3,467
,,25,,4.48,6.98,44.8,5.94,61.3,468
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
