Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Upper Sunshine Reservoir - LPD,,,,,,,,,
,,,,,,,,,
,6/24/2014,0,811,14.2,8.31,239,9.2,114,383
,,0.5,,14.1,8.26,239,9.19,114,386
,,1,,14.1,8.26,240,9.17,112,387
,,1.5,,14.1,8.26,239,9.18,114,387
,,2,,14.1,8.26,239,9.2,114,387
,,2.5,,14.1,8.27,239,9.14,113,387
,,3,,14.1,8.27,239,9.16,113,387
,,4,,14,8.25,239,9.15,113,388
,,5,,13.1,8.14,238,8.71,105,390
,,6,,12.2,7.98,231,8.1,95,391
,,7,,11.8,7.91,227,7.99,93.8,392
,,8,,11.4,7.86,224,7.97,92.9,392
,,9,,10.9,7.84,216,8.81,92.2,393
,,10,,10.6,7.81,215,7.98,91.2,393
,,11,,10.4,7.79,214,8.02,91.2,393
,,12,,10.12,7.78,214,8.09,91.5,393
,,13,,9.9,7.78,215,8.1,91.1,393
,,14,,9.78,7.77,215,8.1,90.8,394
,,15,,9.58,7.77,217,8.13,90.6,394
,,20,,9.05,7.74,227,7.86,86.6,395
,,25,,8.91,7.72,231,7.74,84.9,395
,,30,,8.74,7.7,237,7.55,82.5,396
,,36,,8.67,7.69,239,7.44,81.2,396
,,,,,,,,,
,7/28/2014,0,1220,20.65,8.07,234.2,6.84,96.3,365
,,0.5,,20.62,8.08,234.3,6.85,96.4,364
,,1,,20.23,8.17,234.4,6.86,95.8,363
,,1.5,,20.09,8.15,233.8,6.88,95.8,362
,,2,,19.98,8.13,234.3,6.89,95.6,361
,,2.5,,19.9,8.13,233.6,6.9,94.3,361
,,3,,19.03,8.11,232,6.84,92.6,361
,,4,,18.68,8.06,231.2,6.63,89.7,362
,,5,,18.06,7.93,230.4,6.37,84.3,365
,,6,,16.96,7.73,228.4,5.54,73.9,366
,,7,,15.25,7.74,218.7,5.67,69.9,369
,,8,,13.55,7.51,214.1,5.22,63.2,372
,,9,,12.46,7.5,209.8,5.41,64.1,372
,,10,,11.69,7.51,206.9,5.66,65.8,372
,,11,,11.24,7.54,204,5.98,68.7,372
,,12,,10.72,7.57,202.9,6.19,70.3,372
,,13,,10.39,7.55,205.5,6.11,68.9,373
,,14,,10.27,7.56,203.9,6.21,69.8,373
,,15,,10.12,7.53,207.6,5.97,66.8,374
,,20,,9.76,7.45,212.1,5.57,61.6,376
,,25,,9.56,7.49,213.6,5.68,62.7,375
,,30,,9.45,7.48,216.5,5.52,60.4,376
,,40,,9.44,7.44,216.1,5.41,59.5,376
,,,,,,,,,
,9/22/2014,0,1125,15,7.99,236,7.81,99,412
,,0.5,,14.9,7.72,235,7.81,98.4,397
,,1,,14.9,7.93,236,7.83,98.6,394
,,1.5,,14.8,8.1,235,7.81,98.3,391
,,2,,14.8,8.27,235,7.82,98.5,386
,,2.5,,14.7,8.59,235,7.78,97.9,381
,,3,,14.7,8.43,236,7.79,98,380
,,4,,14.6,8.29,236,7.77,97.3,378
,,5,,14.6,8.19,235,7.72,96.9,377
,,6,,14.6,8.16,235,7.72,96.7,377
,,7,,14.6,8.16,235,7.75,97.2,376
,,8,,14.5,8.14,236,7.75,96.7,376
,,9,,14,7.97,235,6.94,86.7,376
,,10,,13.8,7.89,235,6.65,81.7,379
,,11,,13.6,7.82,235,6.41,77.9,379
,,12,,13.4,7.78,232,6.28,76.4,380
,,13,,12.7,7.4,229,4.3,52.7,384
,,14,,11.3,7.34,217,3.73,42.9,386
,,15,,11.2,7.2,216,3.51,40.7,388
,,20,,10.3,7.15,215,3.63,41.2,389
,,25,,10.2,7.12,216,3.37,38.2,390
,,30,,10,7.09,218,2.17,25.5,272
,,,,,,,,,
,6/8/2015,0,1208,15.8,8.27,274.4,8.06,103.4,203
,,0.5,,15.46,8.33,274.1,8.07,103,203
,,1,,15.16,8.34,273.4,8.14,102.6,203
,,1.5,,14.93,8.35,273.5,8.13,102.5,204
,,2,,14.72,8.36,273.4,8.13,101.9,204
,,2.5,,14.57,8.36,272.5,8.1,101.4,205
,,3,,14.12,8.36,270.5,8.07,99.7,205
,,4,,11.97,8.34,269.5,8.49,99.6,205
,,5,,10.6,8.28,268.3,8.37,95.6,205
,,6,,9.73,8.24,267.8,8.16,91.5,205
,,7,,8.98,8.21,268.2,8.05,88.5,204
,,8,,8.56,8.19,268.2,8,87,203
,,9,,8.35,8.18,268,7.99,86.4,203
,,10,,8.18,8.18,267.9,7.95,85.7,203
,,11,,7.96,8.16,268.7,7.87,84.4,203
,,12,,7.75,8.15,268.9,7.89,84,203
