Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Upper Sunshine Reservoir - RTPD,,,,,,,,,
,,,,,,,,,
,6/24/2014,0,848,15.1,8.33,239,8.87,112,379
,,0.5,,15,8.31,239,8.86,112,381
,,1,,14.8,8.29,239,8.88,112,382
,,1.5,,14.7,8.28,239,8.87,111,383
,,2,,14.4,8.19,240,8.5,106,385
,,2.5,,13.4,8.12,238,8.37,102,386
,,3,,12.9,8.09,238,8.44,102,386
,,4,,12.6,8,236,8.12,97.3,388
,,5,,12.8,7.97,235,8.04,96,388
,,6,,12.4,7.94,233,7.99,95.2,389
,,7,,12.4,7.92,233,7.99,95.2,389
,,8,,12.2,7.81,233,7.18,84.8,391
,,,,,,,,,
,7/28/2014,0,1252,20.85,8.29,235.2,6.79,96.1,342
,,0.5,,20.88,8.28,235,6.78,95.9,343
,,1,,20.57,8.27,234.6,6.79,95.4,345
,,1.5,,19.69,8.25,234,6.86,95.7,346
,,2,,19.59,8.25,233.7,6.86,94.7,347
,,2.5,,19.53,8.23,233.5,6.83,94.1,348
,,3,,19.47,8.22,233.7,6.82,93.8,349
,,4,,19.1,8.12,233.8,6.53,88.6,351
,,5,,18.56,8.05,231.8,6.35,95.6,353
,,6,,18.23,7.98,230.1,6.15,92.1,354
,,7,,16.61,7.82,228,5.43,69.7,358
,,8,,13.74,7.63,216.7,4.76,57.3,362
,,9,,12.36,7.56,211.6,4.99,59.2,363
,,,,,,,,,
,9/22/2014,0,1215,15.6,8.3,237,7.96,102,280
,,0.5,,15.4,8.24,236,7.97,102,284
,,1,,15.4,8.22,236,7.94,101,286
,,1.5,,15.3,8.23,237,7.96,102,287
,,2,,15.2,8.22,236,7.96,101,289
,,2.5,,15.1,8.22,236,7.87,99.5,290
,,3,,15,8.2,236,7.79,98.4,291
,,4,,14.4,8.12,236,7.45,92.5,294
,,5,,14.3,8.07,237,7.26,90,296
,,6,,14.2,8.04,236,7.11,88.1,297
,,7,,14,7.95,238,6.55,80.6,298
,,,,,,,,,
,6/8/2015,0,1248,15.92,8.42,271.6,8.07,103.8,200
,,0.5,,15.74,8.43,272.2,8.09,103.6,200
,,1,,15.55,8.44,273.6,8.2,104.4,200
,,1.5,,15.46,8.46,275.5,8.22,104.7,201
,,2,,15.39,8.47,276.6,8.33,105.7,201
,,2.5,,15.22,8.48,276.8,8.34,105.2,201
,,3,,14.67,8.48,273.1,8.39,104.7,201
,,4,,12.83,8.46,271.3,8.65,103.9,202
,,5,,12.09,8.41,272.2,8.52,100.6,202
,,6,,10.74,8.29,272.9,8.19,93.7,202
,,7,,9.9,8.24,267.2,8.07,90.6,203
,,8,,9.52,8.23,268.4,8.08,89.8,203
,,9,,9.18,8.19,269.9,7.86,86.6,203
,,9.5,,9.09,8.18,269.1,7.83,86.1,203
,,,,,,,,,
,7/28/2015,0,830,17.07,8.66,274,7.34,96.8,336
,,0.5,,17.1,8.66,274,7.33,96.8,335
,,1,,17.11,8.65,274,7.33,97,335
,,1.5,,17.1,8.67,274,7.32,96.8,335
,,2,,17.1,8.7,274,7.34,97,335
,,2.5,,17.11,8.73,274,7.35,97.2,335
,,3,,17.06,8.76,274,7.31,96.4,335
,,4,,17.07,8.78,274,7.29,96.3,335
,,5,,17.05,8.79,274,7.31,96.5,335
,,6,,16.98,8.79,274,7.28,95.8,335
,,7,,16.98,8.81,274,7.27,95.9,334
,,8,,16.76,8.79,275,7.17,93.8,334
,,9,,14.26,8.52,276,6.66,81.9,346
,,,,,,,,,
,9/28/2015,0,1507,15.69,8.53,285,7.36,94.4,521
,,0.5,,15.64,8.53,285,7.35,94.1,524
,,1,,15.62,8.56,285,7.38,94.5,526
,,1.5,,15.61,8.56,285,7.34,94.2,528
,,2,,15.61,8.57,284,7.35,94.2,531
,,2.5,,15.59,8.57,285,7.36,94.3,533
,,3,,15.58,8.59,285,7.35,94.3,535
,,4,,15.55,8.58,285,7.37,94.3,537
,,5,,15.44,8.61,285,7.47,95.7,540
