Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Wakan Tanka Lake - D,,,,,,,,,,
,6/12/2014,0,859,13.9,8.63,548.3,7.87,99.5,314,
,,0.5,901,13.6,8.48,547,7.97,100,312,
,,1,904,13.6,8.49,548,8.01,100.6,304,
,,,,,,,,,,
,7/22/2014,0,959,18.4,9.59,364.8,6.79,93.9,263,
,,0.5,957,18.2,9.57,362.7,6.94,95.4,265,
,,1,942,18,9.79,364,7.54,103.3,259,
,,1.2,944,18,9.84,363.8,7.7,105.5,257,
,,,,,,,,,,
,9/9/2014,0,856,14.5,9.7,397.8,7.17,92.2,213,
,,0.5,,14.5,9.76,398.1,6.89,88.7,210,
,,1,,14.4,9.67,398.8,3.79,48,197,
