Site Name,West Newton,,,,Date,6/21/2021,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
6/21/2021 14:33,7.2098,17.68837,8.090926,1833.086,8.761366,111.6637,-122.2387
6/21/2021 14:33,7.244463,17.70054,8.092494,1832.849,8.879571,113.1997,-121.5143
6/21/2021 14:33,7.246489,17.70069,8.092618,1832.803,8.886281,113.2861,-121.4659
6/21/2021 14:33,7.248515,17.70084,8.092743,1832.757,8.892992,113.3726,-121.4176
6/21/2021 14:33,7.236018,17.69942,8.093486,1833.306,8.987566,114.5762,-121.0091
6/21/2021 14:33,7.236124,17.69959,8.093556,1833.326,8.994411,114.6639,-120.9749
6/21/2021 14:33,7.23623,17.69975,8.093628,1833.346,9.001256,114.7516,-120.9407
6/21/2021 14:33,6.829965,17.70453,8.09028,1833.657,9.04154,115.2768,-120.1387
6/21/2021 14:33,6.809837,17.70473,8.090131,1833.683,9.045328,115.3256,-120.0915
6/21/2021 14:33,6.78971,17.70494,8.089981,1833.708,9.049116,115.3744,-120.0443
6/21/2021 14:33,6.769582,17.70514,8.089832,1833.734,9.052903,115.4232,-119.9971
6/21/2021 14:33,6.349563,17.66569,8.089975,1833.851,9.153704,116.6159,-119.4024
6/21/2021 14:33,6.32119,17.66392,8.089913,1833.863,9.159353,116.6838,-119.3573
6/21/2021 14:33,6.292818,17.66214,8.08985,1833.875,9.165003,116.7516,-119.3123
6/21/2021 14:33,6.264445,17.66037,8.089788,1833.887,9.170652,116.8195,-119.2673
6/21/2021 14:33,5.957139,17.68419,8.095191,1838.272,9.152053,116.6447,-118.5956
6/21/2021 14:33,5.934137,17.68442,8.09543,1838.47,9.153422,116.663,-118.5521
6/21/2021 14:33,5.911136,17.68466,8.09567,1838.668,9.154791,116.6812,-118.5086
6/21/2021 14:33,5.719534,17.70816,8.099915,1839.141,9.020636,115.03,-118.2109
6/21/2021 14:33,5.704544,17.70962,8.100204,1839.243,9.014361,114.9538,-118.184
6/21/2021 14:33,5.689553,17.71108,8.100494,1839.346,9.008086,114.8775,-118.1571
6/21/2021 14:33,5.674562,17.71255,8.100784,1839.448,9.001811,114.8012,-118.1302
6/21/2021 14:33,5.05712,17.71263,8.099875,1839.958,8.930065,113.2794,-117.462
6/21/2021 14:33,5.025262,17.71308,8.099916,1839.992,8.92431,113.1796,-117.4256
6/21/2021 14:33,4.993403,17.71352,8.099958,1840.026,8.918554,113.0799,-117.3892
6/21/2021 14:33,4.961545,17.71397,8.099999,1840.06,8.912799,112.9801,-117.3529
6/21/2021 14:33,4.411788,17.75923,8.093446,1842.296,8.804049,112.3161,-116.722
6/21/2021 14:33,4.375196,17.76124,8.093145,1842.406,8.797749,112.2556,-116.6806
6/21/2021 14:33,4.338603,17.76326,8.092844,1842.516,8.79145,112.195,-116.6393
6/21/2021 14:33,3.702873,17.80907,8.099854,1842.996,8.673738,110.8155,-116.1075
