Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Woodruff Narrows Reservoir - LPD,,,,,,,,,,
,6/27/2013,0,1138,20.22,8.4,303.1,8.24,114.5,,
,,0.5,1139,19.39,8.42,301.1,8.49,115.5,,
,,1,1141,18.19,8.28,301,7.31,97.8,,
,,1.5,1143,18.02,8.18,305,6.97,92.2,,
,,2,1144,17.95,8.18,299.4,6.94,91.7,,
,,2.5,1145,17.91,8.17,297.6,6.83,90.3,,
,,3,1146,17.7,8.06,298.6,6.3,83.2,,
,,4,1148,17.45,8.05,299.8,6.08,80,,
,,,,,,,,,,
,7/31/2013,0,1301,21.09,8.37,404.4,7.02,99.3,143,
,,0.5,1302,21.08,8.4,404.9,7.03,99.6,142,
,,1,1303,21.06,8.39,405.1,7.04,99.3,141,
,,1.5,1304,21.07,8.39,405.1,7.01,98.9,140,
,,2,1305,21.08,8.39,405.2,7,99.1,139,
,,2.5,1306,21.09,8.39,405.1,7.01,99.1,139,
,,3,1307,21.08,8.38,405.2,7,98.9,139,
,,3.6,1308,21,8.38,405.2,6.8,97.4,139,
,,,,,,,,,,
,9/11/2013,0,1534,18.47,8.2,429.2,5.47,73.5,127,
,,0.5,,18.47,8.22,429.2,5.46,73.5,128,
,,1,,18.44,8.23,429.4,5.42,72.9,128,
,,1.5,,18.46,8.24,429.8,5.44,73,126,
,,2,,18.45,8.24,429.8,5.44,73,127,
,,2.5,,18.45,8.25,429.8,5.42,72.9,127,
,,3,,18.45,8.25,429.6,5.41,72.7,127,
,,3.7,1553,18.42,8.24,430.1,5.31,70.8,126,
,,,,,,,,,,
,6/26/2014,0,1332,18.24,7.64,275.6,8.1,109.7,249,
,,0.5,1333,18.24,8.21,275.8,8.12,109.9,253,
,,1,1334,18.21,8.36,275.9,8.13,109.9,252,
,,1.5,1335,18.21,8.39,275.8,8.13,110,251,
,,2,1336,18.19,8.38,275.8,8.12,109.9,250,
,,2.5,1337,18.17,8.39,275.8,8.12,109.6,249,
,,3,1338,18.03,8.39,275.5,8.09,108.9,251,
,,4,1339,15.86,8.15,271.8,6.71,86.3,267,
,,5,1340,14.79,8.05,269.2,6.04,76,275,
,,6,1342,14.28,8.01,271.8,5.62,69.7,277,
,,7,1344,13.81,7.93,277.1,4.77,58.8,280,
,,8,1347,13.44,7.92,281.7,4.44,54.1,281,
,,8.2,1348,13.4,7.91,282.1,4.39,53.6,281,
,,,,,,,,,,
,8/6/2014,0,1330,21.16,8.62,352.3,8.32,118.9,163,
,,0.5,1332,21.13,8.63,352.5,8.32,118.2,162,
,,1,1333,21,8.6,352.8,8.26,117.4,161,
,,1.5,1334,20.86,8.61,353.2,8.06,113.3,161,
,,2,1335,20.26,8.57,354,7.45,,162,
,,2.5,1336,20.15,8.54,355.2,,,164,
,,3,1337,20.13,8.53,355.8,7.17,,163,
,,4,1343,20.06,8.53,356.7,6.63,,179,
,,5,1346,19.93,8.52,359.8,,,177,
,,6,1348,19.81,8.43,359.1,,,180,
,,7,1349,19.74,8.34,360.3,,,182,
,,7.1,1350,19.72,8.32,361.1,8.47,120.8,181,
,,,,,,,,,,
,9/23/2014,0,839,15.98,8.85,356,7.69,98,186,
,,0.5,842,16,8.87,356.1,7.66,97.4,184,
,,1,844,16,8.88,356.4,7.66,97.4,183,
,,1.5,846,16,8.88,356.5,7.65,97.3,182,
,,2,848,15.99,8.88,356.7,7.62,97,181,
,,2.5,849,15.99,8.88,356.9,7.55,96.1,180,
,,3,851,15.98,8.88,356.9,7.53,95.9,179,
,,4,852,15.98,8.88,356.9,7.51,95.6,178,
,,5,855,15.94,8.84,358.3,6.82,86.5,178,
,,6,857,15.89,8.83,359,6.51,82.6,178,
,,7.6,859,15.75,8.81,359.3,6.28,79.4,178,
,,9,901,15.68,8.78,359.6,5.92,74.7,177,
,,SC,903,16.02,8.9,356.4,7.69,98.2,170,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
