Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Yellowtail Reservoir - RPD,,,,,,,,,
,,,,,,,,,
,6/23/2014,0,718,17.6,8.03,495,8.34,99.8,417
,,0.5,,17.6,8.02,495,8.31,99.5,419
,,1,,17.6,8.01,495,8.3,99.5,420
,,1.5,,17.6,8,494,8.31,99.5,420
,,2,,17.6,8,493,8.3,99.3,420
,,2.5,,17.6,8,493,8.32,99.7,420
,,3,,17.6,8,492,8.32,99.4,420
,,4,,17.4,8,487,8.37,99.8,420
,,5,,17.4,8,486,8.38,99.8,419
,,6,,17.3,8,485,8.41,100.1,419
,,7,,17.3,8,485,8.33,99.2,418
,,,,,,,,,
,7/29/2014,0,1524,22.5,8.47,508,8.17,107,438
,,0.5,,22.5,8.46,508,8.09,106,435
,,1,,22.5,8.48,508,8.09,106,433
,,1.5,,22.5,8.46,508,8.12,107,432
,,2,,22.4,8.49,509,8.01,105,430
,,2.5,,22.3,8.5,510,7.93,104,428
,,3,,22.3,8.53,510,7.86,103,427
,,4,,22.1,8.54,511,7.71,100,425
,,5,,22,8.49,513,7.58,98.2,424
,,6,,21.1,8.4,536,6.54,83.6,425
,,7,,21.1,8.38,538,6.32,80.8,425
,,8,,20.9,8.31,544,5.83,74.7,425
,,,,,,,,,
,9/23/2014,0,1237,18.2,8.53,656,12.82,156,413
,,0.5,,18,8.54,655,12.86,156,405
,,1,,16.8,8.51,656,12.28,145,404
,,1.5,,16.8,8.47,656,11.88,140,402
,,2,,16.7,8.54,658,11.54,137,402
,,2.5,,16.6,8.47,658,11.49,135,401
,,3,,16.6,8.5,658,11.35,133,401
,,4,,16.1,8.41,659,10.88,127,401
,,5,,15.7,8.43,660,11.05,127,401
,,6,,15.1,8.33,664,9.78,111,402
,,7,,14.6,8.31,664,9.32,105,403
,,8,,14.4,8.25,665,8.67,97.2,403
,,9,,14.1,8.14,670,7.4,82.4,405
,,10,,14,8.09,671,7.09,78.7,405
,,11,,13.8,7.95,676,6.01,66.6,408
,,,,,,,,,
,6/9/2015,0,1236,22.67,8.41,492.3,8.44,113.2,371
,,0.5,,20.57,8.32,488.4,8.13,104.4,376
,,1,,20.06,8.27,489.5,7.92,100.5,378
,,1.5,,19.93,8.26,487,9.91,99.5,380
,,2,,19.78,8.25,486,7.79,97.9,380
,,2.5,,19.53,8.23,486.8,7.63,95.4,381
