"","depths","areas"
"1",0,29944.910451225
"2",3,32422.1631404432
"3",3.5,68780.5223393496
"4",4,101225.232125859
"5",4.5,112710.277764593
"6",5,125905.505902966
"7",5.5,140299.605758314
"8",6,147141.101764226
"9",6.5,157845.668655078
"10",7,142494.989250971
"11",7.5,140825.189680349
"12",8,138786.26859246
"13",8.5,137309.001939033
"14",9,151857.967474219
"15",9.5,121049.851070964
"16",10,119308.298058736
"17",10.5,119207.849216876
"18",11,119194.761146073
"19",11.5,132301.948792798
"20",12,114923.811715625
"21",12.5,100256.230217679
"22",13,100373.362103471
"23",13.5,100648.556378604
"24",14,113992.825237099
"25",14.5,99639.7961669015
"26",15,88677.7831009338
"27",15.5,70783.0552822603
"28",16,69887.311207437
"29",16.5,81683.8451407794
"30",17,73922.0092078466
"31",17.5,73147.3477875777
"32",18,73942.9557714034
"33",18.5,57046.9203669336
"34",19,58590.7920319643
"35",19.5,52178.663034481
"36",20,51917.8207139941
"37",20.5,52094.0289442679
"38",21,50957.4472443024
"39",21.5,42422.2346161874
"40",22,32594.9582715658
"41",22.5,32325.8556891754
"42",23,29674.5344115738
"43",23.5,25633.1240963917
"44",24,21986.7511563236
"45",24.5,4093.03651843593
