Genus.Species.Variety,cat,FunFacts_notes
Navicula sp.,Diatom,keystone species providing staple in aquatic diets
Nitzschia sp.,Diatom,
Fragilaria sp.,Diatom,
Synedra sp.,Diatom,
Diatoma sp.,Diatom,
Asterionella sp.,Diatom,
Oocystis,Green algae,
Schroederia,Green algae,
Cryptomonas,Diatom,function like Diatoms'
Planktosphaeria,Green algae,
Aulacoseira sp.,Diatom,
Stephanodiscus sp.,Diatom,
Sphaerocystis,Green algae,
Aphanizomenon,Cyanobacteria,
Aphanocapsa,Cyanobacteria,
Dolichospermum,Cyanobacteria,
Pseudanabaena,Cyanobacteria,
Ceratium,Dinoflagellate,
Peridinium,Dinoflagellate,
Encyonema sp.,Diatom,
Woronichinia,Cyanobacteria,
Carteria,Green algae,
Cymbella,Diatom,
Dinobryon,Golden algae,
Aphanothece,Cyanobacteria,
Volvox,Green algae,
Microcystis,Cyanobacteria,
Eudorina,Green algae,
Staurastrum,Green algae,
Euglena,Flagellate,don't know how to characterize
Ankyra,Green algae,
Hannaea,Diatom,
Surirella sp.,Diatom,
Undetermined Pennate,Diatom,
Gloeotrichia,Cyanobacteria,
Unknown centric,Diatom,
Uroglena,Golden algae,
Elakatothrix,Green algae,
Pediastrum,Green algae,
Coelastrum,Green algae,eutrophication marker in paleoecology
Monoraphidium,Green algae,some may produce biofuel
Hippodonta sp.,Diatom,
Gomphonema,Diatom,
Cosmarium,Green algae,
Scenedesmus,Green algae,can produce biofuel; able to grow in wastewater
Epithemia sp.,Diatom,
Sellaphora sp.,Diatom,
Planothidium,Diatom,
Actinastrum,Green algae,
Geitlerinema,Cyanobacteria,
Cocconeis sp.,Diatom,
Undetermined Dinoflagellate,Dinoflagellate,
Undetermined Euglenophyte,Flagellate,don't know how to characterize
Undetermined Chlorophyte,Green algae,
Caloneis,Diatom,
Rhoicosphenia,Diatom,
Ankistrodesmus,Green algae,one of the most common types of phytos in the world
Amphora sp.,Diatom,
Chlamydomonas,Green algae,
Cyclotella,Diatom,
Pinnularia sp.,Diatom,
Gomphoneis,Diatom,
Placoneis sp.,Diatom,
Dictyosphaerium,Green algae,
Rhopalodia sp.,Diatom,
Melosira sp.,Diatom,
Cymatopleura,Diatom,
Phacus,Flagellate,"may be indicative of high organic matter pollution, don't know how to characterize"
Gymnodinium,Dinoflagellate,cause toxic red tides
Gyrosigma,Diatom,
Reimeria,Diatom,
Closterium,Green algae,
Trachelomonas,Flagellate,don't know how to characterize
Tryblionella sp.,Diatom,
Phormidium,Cyanobacteria,
Kirchneriella,Green algae,
