"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/downloadall?filename=RISE%20Time%20Series%20Query%20Package%20%282024-04-01%29&order=ASC&query%5B0%5D=itemId.195.before.2023-12-31.after.1980-01-01.order.ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-04-01","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","604967","af","daily","instant","1980-01-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","603700","af","daily","instant","1980-01-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","603384","af","daily","instant","1980-01-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","602909","af","daily","instant","1980-01-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","601800","af","daily","instant","1980-01-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","600850","af","daily","instant","1980-01-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","600534","af","daily","instant","1980-01-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","598950","af","daily","instant","1980-01-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","597637","af","daily","instant","1980-01-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","596575","af","daily","instant","1980-01-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","595625","af","daily","instant","1980-01-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","594517","af","daily","instant","1980-01-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","594042","af","daily","instant","1980-01-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","592775","af","daily","instant","1980-01-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","592934","af","daily","instant","1980-01-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","592775","af","daily","instant","1980-01-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","592459","af","daily","instant","1980-01-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","591984","af","daily","instant","1980-01-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","591192","af","daily","instant","1980-01-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","590717","af","daily","instant","1980-01-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","589782","af","daily","instant","1980-01-21 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","589315","af","daily","instant","1980-01-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","588538","af","daily","instant","1980-01-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","588072","af","daily","instant","1980-01-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","587606","af","daily","instant","1980-01-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","587140","af","daily","instant","1980-01-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","586363","af","daily","instant","1980-01-27 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","585430","af","daily","instant","1980-01-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","584343","af","daily","instant","1980-01-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","583410","af","daily","instant","1980-01-30 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","582478","af","daily","instant","1980-01-31 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","581234","af","daily","instant","1980-02-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","580768","af","daily","instant","1980-02-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","581079","af","daily","instant","1980-02-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","579370","af","daily","instant","1980-02-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","578593","af","daily","instant","1980-02-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","578282","af","daily","instant","1980-02-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","578126","af","daily","instant","1980-02-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","577349","af","daily","instant","1980-02-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","576572","af","daily","instant","1980-02-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","575951","af","daily","instant","1980-02-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","575174","af","daily","instant","1980-02-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","574408","af","daily","instant","1980-02-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","573492","af","daily","instant","1980-02-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","572729","af","daily","instant","1980-02-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","572119","af","daily","instant","1980-02-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","571661","af","daily","instant","1980-02-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","570593","af","daily","instant","1980-02-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","570593","af","daily","instant","1980-02-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","568914","af","daily","instant","1980-02-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","568456","af","daily","instant","1980-02-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","567845","af","daily","instant","1980-02-21 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","567540","af","daily","instant","1980-02-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","566777","af","daily","instant","1980-02-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","566319","af","daily","instant","1980-02-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","565861","af","daily","instant","1980-02-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","565404","af","daily","instant","1980-02-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","564946","af","daily","instant","1980-02-27 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","564946","af","daily","instant","1980-02-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","565098","af","daily","instant","1980-02-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","565098","af","daily","instant","1980-03-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","564946","af","daily","instant","1980-03-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","564946","af","daily","instant","1980-03-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","564488","af","daily","instant","1980-03-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","564488","af","daily","instant","1980-03-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","563725","af","daily","instant","1980-03-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","563267","af","daily","instant","1980-03-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","562962","af","daily","instant","1980-03-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","562351","af","daily","instant","1980-03-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","562504","af","daily","instant","1980-03-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","562351","af","daily","instant","1980-03-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","562504","af","daily","instant","1980-03-12 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","562351","af","daily","instant","1980-03-13 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","561893","af","daily","instant","1980-03-14 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","561283","af","daily","instant","1980-03-15 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","561283","af","daily","instant","1980-03-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","560673","af","daily","instant","1980-03-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","560215","af","daily","instant","1980-03-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","558707","af","daily","instant","1980-03-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","558107","af","daily","instant","1980-03-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","557507","af","daily","instant","1980-03-21 06:00:00"
