"","WaterbodyName","Latitude","Longitude","Year","DrainageArea_ha","month","TN_load_kg","TP_load_kg","NH4_load_kg","NO3_load_kg","PO4_load_kg","TN_flux_kg_ha","TP_flux_kg_ha","NH4_flux_kg_ha","NO3_flux_kg_ha","PO4_flux_kg_ha","TotalTrib_TN_kg","TotalTrib_TP_kg","TotalTrib_NH4_kg","TotalTrib_NO3_kg","TotalTrib_PO4_kg"
"1","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Jan",11129.3735044617,741.958233630783,741.958233630783,7382.4844246263,445.17494017847,0.00978831890236826,0.000652554593491217,0.000652554593491217,0.00649291820523761,0.00039153275609473,21031.8357229414,NA,848.424367064998,15100.3877188958,NA
"2","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Feb",13669.8054603035,781.131740588769,1562.26348117754,8240.93986321151,703.018566529892,0.0120226367751197,0.000687007815721128,0.00137401563144226,0.0072479324558579,0.000618307034149015,24029.4203331812,NA,1623.72784176819,15427.8037309411,733.750746825218
"3","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Mar",20146.0576668887,1405.53890699223,2342.56484498706,9463.96197374772,749.620750395859,0.0177185209023627,0.00123617587690903,0.00206029312818171,0.00832358423785413,0.000659293801018149,32900.9025535879,2215.21679301842,2611.47453343749,17325.5092510428,796.49629272772
"4","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Apr",23790.4998861043,4758.09997722085,NA,1946.49544522671,475.809997722085,0.0209238192642728,0.00418476385285456,NA,0.00171194884889505,0.000418476385285456,35476.0288889561,7892.21764603216,NA,4827.74079884876,526.994504665205
"5","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"May",NA,11905.980308888,NA,NA,3333.67448648864,NA,0.0104713470225428,NA,NA,0.00293197716631199,NA,19717.284729414,NA,NA,6356.07213408045
"6","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Jun",NA,47649.482192423,NA,NA,6035.60107770691,NA,0.0419078690319065,NA,NA,0.00530833007737483,NA,55144.8287034786,NA,NA,8100.43785317702
"7","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Jul",86729.6555325072,13988.6541181463,2797.73082362926,21122.8677184009,7413.98668261755,0.0762790040521499,0.0123030651697016,0.00246061303394032,0.0185776284062494,0.00652062453994185,114673.356239128,21254.8900976393,3255.12930245678,32962.8628356127,9667.51557935378
"8","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Aug",NA,1991.35692708329,398.271385416657,NA,438.098523958323,NA,0.00175140466288754,0.000350280932577507,NA,0.000385309025835258,NA,5836.19275160816,NA,NA,1697.44567710414
"9","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Sep",17841.0564745723,1749.1231837816,NA,3953.01839534642,174.91231837816,0.0156912651245163,0.00153835932593297,NA,0.00347669207660851,0.000153835932593297,46425.8338125885,5471.58158999416,NA,19563.6777111414,1011.47280337414
"10","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Oct",NA,2142.23996276728,NA,NA,NA,NA,0.00188410676598797,NA,NA,NA,NA,NA,NA,NA,NA
